sequence_id,global_id,camera_id,local_track_id,,
727,P042,E,1,,
727,P043,E,2,,
727,P044,E,3,,
727,P045,E,4,,
727,P046,E,5,,
727,P047,E,6,,
727,P048,F,1,,
727,P049,F,2,,
727,P050,F,3,,
727,P051,F,4,,
727,P052,F,5,,
727,P053,G,2,,
727,P054,G,3,,
727,P055,G,4,,
727,P056,A,11,,
727,P057,A,8,,
727,P058,A,9,,
727,P059,B,9,,
727,P060,B,10,,
727,P061,B,19,,
727,P062,B,20,,
727,P063,B,11,,
727,P064,B,12,,
727,P065,B,21,,
727,P066,B,22,,
727,P067,C,17,,
727,P068,C,18,,
727,P069,C,19,,
727,P070,C,20,,
727,P071,C,21,,
727,P072,C,22,,
727,P073,C,23,,
727,P074,C,24,,
727,P075,C,25,,
727,P076,C,26,,
727,P077,C,27,,
727,P078,C,28,,
727,P079,C,29,,
727,P080,C,30,,
727,P081,C,31,,
727,P082,D,17,,
727,P083,D,18,,
727,P084,D,19,,
727,P085,D,20,,
727,P086,D,21,,
727,P087,D,22,,
727,P088,D,23,,
727,P089,D,24,,
727,P090,D,25,,
727,P091,D,26,,
727,P092,D,27,,
727,P093,D,28,,
727,P094,D,29,,
727,P095,E,7,,
727,P096,E,8,,
727,P097,E,9,,
727,P098,F,6,,
727,P099,F,7,,
727,P100,F,8,,
727,P101,F,9,,
727,P102,F,10,,
727,P103,F,11,,
727,P104,F,12,,
727,P105,F,13,,
727,P106,F,14,,
727,P107,F,15,,
727,P108,G,6,,
727,P109,G,7,,
727,P110,G,8,,
727,P111,G,10,,
727,P112,G,11,,
727,P113,G,12,,
727,P114,G,13,,
727,P115,G,14,,
727,P116,G,15,,
730,P001,A,1,,
730,P002,A,2,,
730,P003,A,3,,
730,P004,B,1,,
730,P005,B,21,,
730,P006,B,3,,
730,P007,B,4,,
730,P008,B,20,,
730,P009,B,6,,
730,P010,B,7,,
730,P011,B,8,,
730,P012,B,9,,
730,P013,C,1,,
730,P014,C,2,,
730,P015,C,3,,
730,P016,C,4,,
730,P017,C,5,,
730,P018,C,6,,
730,P019,C,7,,
730,P020,C,8,,
730,P021,C,9,,
730,P022,C,10,,
730,P023,C,11,,
730,P024,C,12,,
730,P025,D,2,,
730,P026,D,3,,
730,P027,D,4,,
730,P028,D,5,,
730,P029,D,6,,
730,P030,D,7,,
730,P031,D,8,,
730,P032,D,9,,
730,P033,D,10,,
730,P034,D,12,,
730,P035,D,13,,
730,P036,D,14,,
730,P037,E,1,,
730,P038,E,2,,
730,P039,E,3,,
730,P040,E,4,,
730,P041,E,5,,
730,P042,F,1,,
730,P043,F,2,,
730,P044,F,3,,
730,P045,F,4,,
730,P046,F,5,,
730,P047,G,1,,
730,P048,G,2,,
730,P049,G,3,,
730,P050,G,4,,
730,P051,H,1,,
730,P052,B,11,,
730,P053,B,12,,
730,P054,B,13,,
730,P055,B,14,,
730,P056,B,16,,
730,P057,B,17,,
730,P058,B,18,,
730,P059,C,14,,
730,P060,C,15,,
730,P061,C,17,,
730,P062,C,16,,
730,P063,C,18,,
730,P064,C,19,,
730,P065,C,20,,
730,P066,C,24,,
730,P067,C,25,,
730,P068,C,26,,
730,P069,C,27,,
730,P070,C,30,,
730,P071,C,31,,
730,P072,D,18,,
730,P073,D,19,,
730,P074,D,24,,
730,P075,D,25,,
730,P076,D,26,,
730,P077,D,27,,
730,P078,D,28,,
730,P079,D,29,,
730,P080,D,30,,
730,P081,D,31,,
730,P082,E,7,,
730,P083,E,8,,
730,P084,E,9,,
730,P085,E,10,,
730,P086,E,11,,
730,P087,E,12,,
730,P088,F,7,,
730,P089,F,8,,
730,P090,F,9,,
730,P091,F,10,,
730,P092,F,11,,
730,P093,F,12,,
730,P094,F,13,,
730,P095,G,5,,
730,P096,G,6,,
730,P097,G,7,,
730,P098,G,8,,
803,P001,A,1,,
803,P002,A,2,,
803,P003,A,3,,
803,P004,A,4,,
803,P005,A,5,,
803,P006,B,1,,
803,P007,B,2,,
803,P008,B,3,,
803,P009,B,4,,
803,P010,B,5,,
803,P011,B,6,,
803,P012,B,7,,
803,P013,B,8,,
803,P014,B,9,,
803,P015,C,1,,
803,P016,C,2,,
803,P017,C,3,,
803,P018,C,4,,
803,P019,C,5,,
803,P020,C,6,,
803,P021,C,7,,
803,P022,C,8,,
803,P023,C,9,,
803,P024,C,10,,
803,P025,C,11,,
803,P026,D,1,,
803,P027,D,2,,
803,P028,D,3,,
803,P029,D,4,,
803,P030,D,5,,
803,P031,D,6,,
803,P032,D,7,,
803,P033,D,8,,
803,P034,D,9,,
803,P035,D,10,,
803,P036,D,11,,
803,P037,D,12,,
803,P038,E,1,,
803,P039,E,2,,
803,P040,E,3,,
803,P041,F,1,,
803,P042,F,2,,
803,P043,F,3,,
803,P044,F,4,,
803,P045,F,5,,
803,P046,F,6,,
803,P047,F,7,,
803,P048,G,1,,
803,P049,G,2,,
803,P050,G,3,,
803,P051,G,4,,
803,P052,G,5,,
803,P053,G,6,,
803,P054,H,1,,
803,P055,H,2,,
803,P056,A,6,,
803,P057,A,7,,
803,P058,A,8,,
803,P059,A,9,,
803,P060,B,10,,
803,P061,B,11,,
803,P062,B,12,,
803,P063,B,13,,
803,P064,B,14,,
803,P065,B,15,,
803,P066,B,16,,
803,P067,B,17,,
803,P068,B,18,,
803,P069,B,19,,
803,P070,C,12,,
803,P071,C,14,,
803,P072,C,15,,
803,P073,C,16,,
803,P074,C,17,,
803,P075,C,18,,
803,P076,C,19,,
803,P077,C,20,,
803,P078,C,21,,
803,P079,D,13,,
803,P080,D,14,,
803,P081,D,15,,
803,P082,D,16,,
803,P083,D,17,,
803,P084,D,18,,
803,P085,D,24,,
803,P086,D,19,,
803,P087,D,20,,
803,P088,D,21,,
803,P089,D,22,,
803,P090,D,23,,
803,P091,F,8,,
803,P092,F,9,,
803,P093,F,10,,
803,P094,F,11,,
803,P095,F,12,,
803,P096,F,13,,
803,P097,F,14,,
803,P098,F,15,,
803,P099,F,16,,
803,P100,F,17,,
803,P101,F,18,,
803,P102,F,19,,
803,P103,G,8,,
803,P104,G,9,,
803,P105,G,10,,
803,P106,G,12,,
803,P107,G,13,,
803,P108,G,14,,
803,P109,G,15,,
803,P110,G,16,,
803,P111,G,17,,
803,P112,G,18,,
803,P113,G,19,,
803,P114,G,20,,
803,P115,G,21,,
803,P116,H,3,,
803,P117,H,4,,
